H_ENTRY_001	SUPPORTED	Trend confirmation entry timing carries no meaningful directional edge, and may 
H_ENTRY_002	REJECTED	Volume confirmation improves continuation probability beyond trend+momentum alon
H_ENTRY_003	INCONCLUSIVE	Pullback entries (buying a temporary dip within an established uptrend) outperfo
H_ENTRY_004	REJECTED	Momentum ACCELERATION (is momentum increasing, not merely positive) matters more
H_ENTRY_005	INCONCLUSIVE	Regime filtering (only trading TrendMomentumBaseline's signals during a favorabl
H_EXIT_001	REJECTED	Moving the stop to breakeven once a position reaches +1R unrealized profit reduc
H_EXIT_002	INCONCLUSIVE	Taking partial profit at +1R (closing part of the position) while letting the re
H_EXIT_003	REJECTED	An ATR-based trailing stop (the stop moves up as price advances, based on a mult
H_EXIT_004	REJECTED	A time-based exit (force-close after N bars if neither stop nor target has been 
H_MEANREV_001	REJECTED	Short-term mean reversion: a symbol trading unusually far BELOW its own recent 2
H_RELSTRENGTH_001	REJECTED	A stock's own relative strength versus its market (trailing 20-bar return minus 
H_BREAKOUT_001	REJECTED	A Donchian-style breakout (close exceeds the prior 20-bar high) shows better for
H_MEANREV_002	INCONCLUSIVE	US-only extreme 5-day price weakness (trailing_return_5 below its own developmen
H_TRANSMISSION_001	INCONCLUSIVE	Nasdaq's prior-session return predicts NIFTY IT-sector stocks' own forward retur
H_CONTEXT_MARKET_001	REJECTED	The frozen baseline stock-level BUY condition (uptrend structure + bullish RSI m
H_CONTEXT_MARKET_002	INCONCLUSIVE	The frozen baseline stock-level BUY condition performs better -- not worse -- wh
H_CONTEXT_MARKET_003	REJECTED	The frozen baseline stock-level BUY condition's forward returns vary meaningfull
H_CONTEXT_SECTOR_001	REJECTED	The frozen baseline stock-level BUY condition performs better when the stock's o
H_CONTEXT_SECTOR_002	INCONCLUSIVE	The frozen baseline stock-level BUY condition performs better -- not worse -- wh
H_CONTEXT_VIX_001	REJECTED	The frozen baseline stock-level BUY condition's forward returns are meaningfully
H_CONTEXT_VIX_002	REJECTED	Companion to H_CONTEXT_VIX_001: the DEPRESSED-VIX side of the same India VIX reg
H_CONTEXT_ALIGN_001	INCONCLUSIVE	Does the market-divergence effect (H_CONTEXT_MARKET_002) and the sector-divergen
H_TRANSMISSION_002	REJECTED	USD/INR's prior-day return predicts NSE IT + Pharma exporter stocks' own forward
H_TRANSMISSION_003	REJECTED	USD/INR's prior-day return predicts NSE IT stocks' own forward returns, tested S
H_TRANSMISSION_004	REJECTED	USD/INR's prior-day return predicts NSE Pharma stocks' own forward returns, test
H_GAP_001	INCONCLUSIVE	NSE stocks that open with a large overnight gap UP tend to give back part of tha
H_GAP_002	INCONCLUSIVE	NSE stocks that open with a large overnight gap DOWN tend to recover part of tha
H_GAP_003	REJECTED	Deep validation of H_GAP_001/002 (overnight gap fade) -- a disciplined attempt t
H_CONTEXT_MARKET_004	INCONCLUSIVE	Deep validation of the market/sector-divergence family (H_CONTEXT_MARKET_002/SEC
H_CONTEXT_MARKET_005	INCONCLUSIVE	Re-run H_CONTEXT_MARKET_002/SECTOR_002/ALIGN_001 against genuine 10-year NSE his
H_SECTOR_ROTATION_001	REJECTED	Does a stock's own sector's CROSS-SECTIONAL momentum RANK among all 9 real NIFTY
H_OPENRANGE_001	INCONCLUSIVE	Does an NSE stock's first-30-minute (opening range) return predict its own REST-
H_CALENDAR_001	INCONCLUSIVE	Day-of-week effects on NSE 1-day forward (close-to-close) returns, tested across
H_CALENDAR_002	REJECTED	Does H_CALENDAR_001's Tuesday effect hold on NIFTY 50 (^NSEI) itself, not just p
H_XSECT_001	INCONCLUSIVE	CROSS-SECTIONAL momentum ranking: on each trading day, rank all 32 NSE universe 
H_XSECT_002	REJECTED	Does H_XSECT_001's raw price-behavior measurement (cross-sectional bottom-quinti
H_XSECT_003	INCONCLUSIVE	docs/research/CROSS_SECTIONAL_RELATIVE_STRENGTH_REPORT.md S10 step 3: does H_XSE
H_XSECT_004	REJECTED	Does a mean-reversion-appropriate exit design -- a wider stop, or an effectively
