H_ENTRY_001	SUPPORTED	Trend confirmation entry timing carries no meaningful directional edge, and may be worse than random
H_ENTRY_002	REJECTED	Volume confirmation improves continuation probability beyond trend+momentum alone.
H_ENTRY_003	INCONCLUSIVE	Pullback entries (buying a temporary dip within an established uptrend) outperform breakout-style co
H_ENTRY_004	REJECTED	Momentum ACCELERATION (is momentum increasing, not merely positive) matters more than absolute momen
H_ENTRY_005	INCONCLUSIVE	Regime filtering (only trading TrendMomentumBaseline's signals during a favorable market regime) imp
H_EXIT_001	REJECTED	Moving the stop to breakeven once a position reaches +1R unrealized profit reduces the frequency of 
H_EXIT_002	INCONCLUSIVE	Taking partial profit at +1R (closing part of the position) while letting the remainder run improves
H_EXIT_003	REJECTED	An ATR-based trailing stop (the stop moves up as price advances, based on a multiple of ATR14) captu
H_EXIT_004	REJECTED	A time-based exit (force-close after N bars if neither stop nor target has been hit) improves expect
H_MEANREV_001	REJECTED	Short-term mean reversion: a symbol trading unusually far BELOW its own recent 20-day average (a lar
H_RELSTRENGTH_001	REJECTED	A stock's own relative strength versus its market (trailing 20-bar return minus its benchmark index'
H_BREAKOUT_001	REJECTED	A Donchian-style breakout (close exceeds the prior 20-bar high) shows better forward continuation wh
H_MEANREV_002	INCONCLUSIVE	US-only extreme 5-day price weakness (trailing_return_5 below its own development-period 5th percent
H_TRANSMISSION_001	INCONCLUSIVE	Nasdaq's prior-session return predicts NIFTY IT-sector stocks' own forward returns, with a genuine, 
H_CONTEXT_MARKET_001	REJECTED	The frozen baseline stock-level BUY condition (uptrend structure + bullish RSI momentum) performs be
H_CONTEXT_MARKET_002	INCONCLUSIVE	The frozen baseline stock-level BUY condition performs better -- not worse -- when the broader NIFTY
H_CONTEXT_MARKET_003	REJECTED	The frozen baseline stock-level BUY condition's forward returns vary meaningfully depending on NIFTY
H_CONTEXT_SECTOR_001	REJECTED	The frozen baseline stock-level BUY condition performs better when the stock's own NIFTY sector inde
H_CONTEXT_SECTOR_002	INCONCLUSIVE	The frozen baseline stock-level BUY condition performs better -- not worse -- when the stock's own N
H_CONTEXT_VIX_001	REJECTED	The frozen baseline stock-level BUY condition's forward returns are meaningfully different when Indi
H_CONTEXT_VIX_002	REJECTED	Companion to H_CONTEXT_VIX_001: the DEPRESSED-VIX side of the same India VIX regime conditioning.
H_CONTEXT_ALIGN_001	INCONCLUSIVE	Does the market-divergence effect (H_CONTEXT_MARKET_002) and the sector-divergence effect (H_CONTEXT
H_TRANSMISSION_002	REJECTED	USD/INR's prior-day return predicts NSE IT + Pharma exporter stocks' own forward returns.
H_TRANSMISSION_003	REJECTED	USD/INR's prior-day return predicts NSE IT stocks' own forward returns, tested SEPARATELY from Pharm
H_TRANSMISSION_004	REJECTED	USD/INR's prior-day return predicts NSE Pharma stocks' own forward returns, tested SEPARATELY from I
H_GAP_001	INCONCLUSIVE	NSE stocks that open with a large overnight gap UP tend to give back part of that gap by the same da
H_GAP_002	INCONCLUSIVE	NSE stocks that open with a large overnight gap DOWN tend to recover part of that gap by the same da
H_GAP_003	REJECTED	Deep validation of H_GAP_001/002 (overnight gap fade) -- a disciplined attempt to disprove the stron
H_CONTEXT_MARKET_004	INCONCLUSIVE	Deep validation of the market/sector-divergence family (H_CONTEXT_MARKET_002/SECTOR_002/ALIGN_001) -
H_CONTEXT_MARKET_005	INCONCLUSIVE	Re-run H_CONTEXT_MARKET_002/SECTOR_002/ALIGN_001 against genuine 10-year NSE history (up from 5 year
H_SECTOR_ROTATION_001	REJECTED	Does a stock's own sector's CROSS-SECTIONAL momentum RANK among all 9 real NIFTY sector indices (lea
H_OPENRANGE_001	INCONCLUSIVE	Does an NSE stock's first-30-minute (opening range) return predict its own REST-OF-DAY return -- con
H_CALENDAR_001	INCONCLUSIVE	Day-of-week effects on NSE 1-day forward (close-to-close) returns, tested across all 5 weekdays, unc
H_CALENDAR_002	REJECTED	Does H_CALENDAR_001's Tuesday effect hold on NIFTY 50 (^NSEI) itself, not just pooled across the 32-
H_XSECT_001	INCONCLUSIVE	CROSS-SECTIONAL momentum ranking: on each trading day, rank all 32 NSE universe stocks by trailing N
H_XSECT_002	REJECTED	Does H_XSECT_001's raw price-behavior measurement (cross-sectional bottom-quintile trailing-60-day l
H_XSECT_003	INCONCLUSIVE	docs/research/CROSS_SECTIONAL_RELATIVE_STRENGTH_REPORT.md S10 step 3: does H_XSECT_001's cross-secti
H_XSECT_004	REJECTED	Does a mean-reversion-appropriate exit design -- a wider stop, or an effectively-absent stop -- reco
H_XSECT_005	INCONCLUSIVE	EXECUTION-MECHANICS INVESTIGATION (EDGE DISCOVERY mission continuation, 2026-09-09): is H_XSECT_001'
H_XSECT_006	REJECTED	Does H_XSECT_005's cross-sectional laggard portfolio effect survive on a materially larger, objectiv
H_VOL_001	REJECTED	Volatility contraction (the classic 'quiet before the storm' pattern): does a stock currently in a L
H_MEANREV_003	INCONCLUSIVE	Does H_MEANREV_001's oversold mean-reversion entry (zscore_close_20 below a frozen threshold) behave
